,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
146,bbc6b29b-693f-4337-a3b9-3b4ce8d581d4,Fathia Roubi,https://play-lh.googleusercontent.com/a/ACg8ocIwXj9x6Vfc_XOVbax8IUITsNbirY183xc1oi4MUzbx=mo,Parfait,5,0,24.10.1,2024-03-19 14:43:53,,,24.10.1
147,816debff-742d-42a4-9918-035d0e4ed7c7,Black Wolf,https://play-lh.googleusercontent.com/a/ACg8ocLBEAlwfgQO69BRhEY3I60KqGaLZmmcAxN8UDsBiDaC=mo,@djazaairiaa Bonjour j'ai un problème avec un acheteur qui ma envoyer une boîte PS4 et une manette cassée et sans son étiquette au lieu que avec comme dit dans la description (neuf avec étiquette) donc mensonger a propos de l'étiquette et de la photo car montre une boîte neuf et scellé et ce retrouve ouvert son nom est prononcé au début merci de résoudre cette arnaque mon nom personnel brancato300,3,0,24.11.3,2024-03-19 14:41:51,,,24.11.3
148,e6e91bb4-ba14-4af9-a071-7e5fd06b020c,ingrid dellac,https://play-lh.googleusercontent.com/a-/ALV-UjVbwK7bi7dlBudC9Jh3dlqEmU47OPME13JjSn5FubndVA,"Article conforme à la description, merci pour vôtre rapidité",5,0,24.10.1,2024-03-19 14:35:22,,,24.10.1
149,90684151-605e-48b3-bd93-f5182de8d04e,Sophiane Daunois,https://play-lh.googleusercontent.com/a/ACg8ocI9PV1lsjcA-tz_nDFgBijq6icwt1yPCZnXJ-jCl4E=mo,Tout est parfait!,5,0,24.10.1,2024-03-19 14:34:52,,,24.10.1
150,1eecac41-4cb8-4bc2-aeca-38863faaced5,Alexandra Labarriere,https://play-lh.googleusercontent.com/a/ACg8ocIvGQjlh33v-I21Hs80NpMyPRhLrvf-tn32sN7EQIXS=mo,Impeccable,5,0,24.10.1,2024-03-19 14:30:36,,,24.10.1
151,0d664c88-7c34-473a-aebb-f1a9b434028b,kevin lance,https://play-lh.googleusercontent.com/a-/ALV-UjUI4tn4-W3RIIK4mqVyI-BTyAPbhtL59xkezxUjcaq7mA,Très satisfait 👌😁,5,0,24.10.1,2024-03-19 14:26:45,,,24.10.1
152,35f31de8-8cde-4a2c-ba42-07465f853070,Seddik Filali,https://play-lh.googleusercontent.com/a/ACg8ocISkId-gv37X6yp1hyGdRi9ktZUgvzDXOf_-1tvDS7g=mo,Bien reçu parfait merci,5,0,24.6.1,2024-03-19 14:22:17,,,24.6.1
153,aafb6b6c-f506-4bd5-8b6d-449c48800c06,Anne Leduc,https://play-lh.googleusercontent.com/a/ACg8ocLJEG97s0HnakVRjdhOg2b8o0Z0OjHzB4zU2wDyzNSZ=mo,Pas de souci. Suis en confiance. Merci à toute l'équipe.,5,0,24.10.1,2024-03-19 14:12:19,,,24.10.1
154,bc9c8f07-4b97-443f-8e30-d909720b6590,Anne Champagne,https://play-lh.googleusercontent.com/a/ACg8ocIWi_DWkA-Kq8PFHzEaa2OKPbtwfjSzlXTekAGYMeCc=mo,Impeccable !,5,0,24.10.1,2024-03-19 14:04:24,,,24.10.1
155,800c11ec-38df-47af-9b93-2a12e4123be4,Aboudou Mariama,https://play-lh.googleusercontent.com/a/ACg8ocLUK34rMENt3R0x9MnfE6QK1fZdUpxOPM9xNUV58htv=mo,"Tout simplement parfait, vendeuse très communiquante, et proche pour trouver une solution. Le colis est soigneusement emballé merci pour votre aide, je suis très contente de mon achat.",5,0,24.10.1,2024-03-19 13:57:12,,,24.10.1
